MCM Name	Smiles String	InChl Identifier	Measurements
 C823CO 	 O=CC(CCC(=O)O)C(=C)C 	 InChI=1S/C8H12O3/c1-6(2)7(5-9)3-4-8(10)11/h5,7H,1,3-4H2,2H3,(H,10,11) 	
 M3BU2OLOOH 	 OOCC(O)C(C)C 	 InChI=1S/C5H12O3/c1-4(2)5(6)3-8-7/h4-7H,3H2,1-2H3 	
 METLBIPRO2 	 [O]OC1C=CC2(C)OOC1(CC)C2O 	 InChI=1S/C9H13O5/c1-3-9-6(12-11)4-5-8(2,7(9)10)13-14-9/h4-7,10H,3H2,1-2H3 	
 PXYCATECH 	 Cc1ccc(C)c(O)c1O 	 InChI=1S/C8H10O2/c1-5-3-4-6(2)8(10)7(5)9/h3-4,9-10H,1-2H3 	
 M3HEXBNO3 	 CCCC(C)(CC)ON(=O)=O 	 InChI=1S/C7H15NO3/c1-4-6-7(3,5-2)11-8(9)10/h4-6H2,1-3H3 	
 C124OH 	 CCCCCCC(=O)C(O)CC(=O)CC 	 InChI=1S/C12H22O3/c1-3-5-6-7-8-11(14)12(15)9-10(13)4-2/h12,15H,3-9H2,1-2H3 	
 PRCOOMCHO 	 CCCC(=O)OCC=O 	 InChI=1S/C6H10O3/c1-2-3-6(8)9-5-4-7/h4H,2-3,5H2,1H3 	
 PTLQONE 	 O=C1C=CC(=O)C(=C1)C 	 InChI=1S/C7H6O2/c1-5-4-6(8)2-3-7(5)9/h2-4H,1H3 	
 TM123MUCO 	 OC(C(=O)C)C([O])C1OC1(C)C(=O)C 	 InChI=1S/C9H13O5/c1-4(10)6(12)7(13)8-9(3,14-8)5(2)11/h6-8,12H,1-3H3 	
 C137CO 	 O=CCC(=C)C1CC(C)(C)C1CCC(=O)O 	 InChI=1S/C13H20O3/c1-9(6-7-14)10-8-13(2,3)11(10)4-5-12(15)16/h7,10-11H,1,4-6,8H2,2-3H3,(H,15,16) 	
 MBOAOOH 	 OCC(OO)C(C)(C)O 	 InChI=1S/C5H12O4/c1-5(2,7)4(3-6)9-8/h4,6-8H,3H2,1-2H3 	
 C4M2NO33O 	 O=N(=O)OC(C)C(C)(C)[O] 	 InChI=1S/C5H10NO4/c1-4(5(2,3)7)10-6(8)9/h4H,1-3H3 	
 EPXDLCO2H 	 O=CC1OC1C(=O)O 	 InChI=1S/C4H4O4/c5-1-2-3(8-2)4(6)7/h1-3H,(H,6,7) 	
 BOXCOCOMO 	 CCCC([O])OC(=O)C(=O)C 	 InChI=1S/C7H11O4/c1-3-4-6(9)11-7(10)5(2)8/h6H,3-4H2,1-2H3 	
 ME3BU2OLO 	 [O]CC(O)C(C)C 	 InChI=1S/C5H11O2/c1-4(2)5(7)3-6/h4-5,7H,3H2,1-2H3 	
 CLOHCO3H 	 OOC(=O)C(O)Cl 	 InChI=1S/C2H3ClO4/c3-1(4)2(5)7-6/h1,4,6H 	
 BOXCOCOME 	 CCCCOC(=O)C(=O)C 	 InChI=1S/C7H12O3/c1-3-4-5-10-7(9)6(2)8/h3-5H2,1-2H3 	
 MALDIAL 	 O=CC=CC=O 	 InChI=1S/C4H4O2/c5-3-1-2-4-6/h1-4H 	
 C6PAN21 	 CCC(C)(O)CC(=O)OON(=O)=O 	 InChI=1S/C6H11NO6/c1-3-6(2,9)4-5(8)12-13-7(10)11/h9H,3-4H2,1-2H3 	
 DEMPHOLOOH 	 CCC12OOC(CC)(C=C(C)C2(O)OO)C1O 	 InChI=1S/C11H18O6/c1-4-9-6-7(3)11(13,15-14)10(5-2,8(9)12)17-16-9/h6,8,12-14H,4-5H2,1-3H3 	
 C6PAN23 	 CCCCC(O)C(=O)OON(=O)=O 	 InChI=1S/C6H11NO6/c1-2-3-4-5(8)6(9)12-13-7(10)11/h5,8H,2-4H2,1H3 	
 C6PAN22 	 CCCC(O)CC(=O)OON(=O)=O 	 InChI=1S/C6H11NO6/c1-2-3-5(8)4-6(9)12-13-7(10)11/h5,8H,2-4H2,1H3 	
 HO13C5O2 	 OCCC(O)C(C)O[O] 	 InChI=1S/C5H11O4/c1-4(9-8)5(7)2-3-6/h4-7H,2-3H2,1H3 	
 EBZMUCOOH 	 CCC(=O)C(OO)C(O)C1OC1C=O 	 InChI=1S/C8H12O6/c1-2-4(10)7(14-12)6(11)8-5(3-9)13-8/h3,5-8,11-12H,2H2,1H3 	
 NMETOL1O2 	 [O]Oc1c(CC)cc(C)cc1N(=O)=O 	 InChI=1S/C9H10NO4/c1-3-7-4-6(2)5-8(10(11)12)9(7)14-13/h4-5H,3H2,1-2H3 	
 DMKOHOOH 	 OOC(C(=O)C)C(O)C(=O)C 	 InChI=1S/C6H10O5/c1-3(7)5(9)6(11-10)4(2)8/h5-6,9-10H,1-2H3 	
 C9M2CO6O2 	 CCC(=O)C=C(C)C(O[O])C(=O)CC 	 InChI=1S/C10H15O4/c1-4-8(11)6-7(3)10(14-13)9(12)5-2/h6,10H,4-5H2,1-3H3 	
 IPBZBPR2OH 	 OC1C=CC2(OOC1C2O)C(C)C 	 InChI=1S/C9H14O4/c1-5(2)9-4-3-6(10)7(8(9)11)12-13-9/h3-8,10-11H,1-2H3 	
 MPRK 	 CCCC(=O)C 	 InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3 	
 NOA 	 CC(=O)CON(=O)=O 	 InChI=1S/C3H5NO4/c1-3(5)2-8-4(6)7/h2H2,1H3 	
 BIACETOOH 	 CC(=O)C(=O)COO 	 InChI=1S/C4H6O4/c1-3(5)4(6)2-8-7/h7H,2H2,1H3 	
 HEPTOH 	 CCCCC(O)CC 	 InChI=1S/C7H16O/c1-3-5-6-7(8)4-2/h7-8H,3-6H2,1-2H3 	
 C6CO4MEDB 	 O=CC(=O)C(=C(C)C(=O)C=O)CC 	 InChI=1S/C9H10O4/c1-3-7(9(13)5-11)6(2)8(12)4-10/h4-5H,3H2,1-2H3 	
 ACBUONEAO 	 CC(=O)CC([O])OC(=O)C 	 InChI=1S/C6H9O4/c1-4(7)3-6(9)10-5(2)8/h6H,3H2,1-2H3 	
 PEBQONE 	 CCC1=CC(=O)C=CC1=O 	 InChI=1S/C8H8O2/c1-2-6-5-7(9)3-4-8(6)10/h3-5H,2H2,1H3 	
 C42OH 	 O=CC(O)C(O)CON(=O)=O 	 InChI=1S/C4H7NO6/c6-1-3(7)4(8)2-11-5(9)10/h1,3-4,7-8H,2H2 	
 C63NO3 	 CCC(=O)CC(CO)ON(=O)=O 	 InChI=1S/C6H11NO5/c1-2-5(9)3-6(4-8)12-7(10)11/h6,8H,2-4H2,1H3 	
 TBOCOCH2O 	 [O]CC(=O)OC(C)(C)C 	 InChI=1S/C6H11O3/c1-6(2,3)9-5(8)4-7/h4H2,1-3H3 	
 NPETOLO2 	 CCC12OOC(C(=CC2(O)O[O])C)C1ON(=O)=O 	 InChI=1S/C9H12NO8/c1-3-8-7(15-10(12)13)6(16-18-8)5(2)4-9(8,11)17-14/h4,6-7,11H,3H2,1-2H3 	
 NPTLQO 	 O=N(=O)OC1C([O])C(=O)C=C(C)C1=O 	 InChI=1S/C7H6NO6/c1-3-2-4(9)6(11)7(5(3)10)14-8(12)13/h2,6-7H,1H3 	
 C514OH 	 O=CCC(O)CC=O 	 InChI=1S/C5H8O3/c6-3-1-5(8)2-4-7/h3-5,8H,1-2H2 	
 C620O2 	 O=CCC(=O)C(O[O])CC=O 	 InChI=1S/C6H7O5/c7-3-1-5(9)6(11-10)2-4-8/h3-4,6H,1-2H2 	
 ACETC2CO2H 	 OC(=O)CCOC(=O)C 	 InChI=1S/C5H8O4/c1-4(6)9-3-2-5(7)8/h2-3H2,1H3,(H,7,8) 	
 C917NO3 	 O=C1CCC(=O)C(C1)C(C)(C)ON(=O)=O 	 InChI=1S/C9H13NO5/c1-9(2,15-10(13)14)7-5-6(11)3-4-8(7)12/h7H,3-5H2,1-2H3 	
 METHACETO2 	 CC(=O)OCO[O] 	 InChI=1S/C3H5O4/c1-3(4)6-2-7-5/h2H2,1H3 	
 C44O 	 O=CCC([O])C(=O)O 	 InChI=1S/C4H5O4/c5-2-1-3(6)4(7)8/h2-3H,1H2,(H,7,8) 	
 C620OH 	 O=CCC(=O)C(O)CC=O 	 InChI=1S/C6H8O4/c7-3-1-5(9)6(10)2-4-8/h3-5,9H,1-2H2 	
 C711O2 	 CC(O)(CC(=O)CO[O])CC 	 InChI=1S/C7H13O4/c1-3-7(2,9)4-6(8)5-11-10/h9H,3-5H2,1-2H3 	
 CNO3OCL 	 ClC(=O)CON(=O)=O 	 InChI=1S/C2H2ClNO4/c3-2(5)1-8-4(6)7/h1H2 	
 NEBNZOLOOH 	 CCC12OOC(C2ON(=O)=O)C(O)(OO)C=C1 	 InChI=1S/C8H11NO8/c1-2-7-3-4-8(10,16-13)6(15-17-7)5(7)14-9(11)12/h3-6,10,13H,2H2,1H3 	
 C514O2 	 O=CCC(O[O])CC=O 	 InChI=1S/C5H7O4/c6-3-1-5(9-8)2-4-7/h3-5H,1-2H2 	
 NPETOLOH 	 CCC12OOC(C(=CC2(O)O)C)C1ON(=O)=O 	 InChI=1S/C9H13NO7/c1-3-8-7(15-10(13)14)6(16-17-8)5(2)4-9(8,11)12/h4,6-7,11-12H,3H2,1-2H3 	
 C731OOH 	 OOCCC(CC=O)C(=O)C 	 InChI=1S/C7H12O4/c1-6(9)7(2-4-8)3-5-11-10/h4,7,10H,2-3,5H2,1H3 	
 IC3H7O 	 CC(C)[O] 	 InChI=1S/C3H7O/c1-3(2)4/h3H,1-2H3 	
 HO2C54O 	 CC(O)CC(C)[O] 	 InChI=1S/C5H11O2/c1-4(6)3-5(2)7/h4-6H,3H2,1-2H3 	
 C42O2 	 [O]OC(CON(=O)=O)C(O)C=O 	 InChI=1S/C4H6NO7/c6-1-3(7)4(12-10)2-11-5(8)9/h1,3-4,7H,2H2 	
 NC524OOH 	 OCC(ON(=O)=O)C(CO)(CO)OO 	 InChI=1S/C5H11NO8/c7-1-4(13-6(10)11)5(2-8,3-9)14-12/h4,7-9,12H,1-3H2 	
 C51NO324CO 	 CC(=O)CC(=O)CON(=O)=O 	 InChI=1S/C5H7NO5/c1-4(7)2-5(8)3-11-6(9)10/h2-3H2,1H3 	
 C62NO335CO 	 CC(=O)CC(=O)C(C)ON(=O)=O 	 InChI=1S/C6H9NO5/c1-4(8)3-6(9)5(2)12-7(10)11/h5H,3H2,1-2H3 	
 C1011O 	 CC(=O)CCC1C([O])CC1(C)C 	 InChI=1S/C10H17O2/c1-7(11)4-5-8-9(12)6-10(8,2)3/h8-9H,4-6H2,1-3H3 	
 C925OOH 	 OCC(CC(=O)C(=O)C)C(C)(CO)OO 	 InChI=1S/C9H16O6/c1-6(12)8(13)3-7(4-10)9(2,5-11)15-14/h7,10-11,14H,3-5H2,1-2H3 	
 H14CO23C4 	 OCC(=O)C(=O)CO 	 InChI=1S/C4H6O4/c5-1-3(7)4(8)2-6/h5-6H,1-2H2 	
 C624CO 	 CC(=C)C(=O)CCO 	 InChI=1S/C6H10O2/c1-5(2)6(8)3-4-7/h7H,1,3-4H2,2H3 	
 T124CAT1O2 	 [O]Oc1c(C)c(C)cc(C)c1O 	 InChI=1S/C9H11O3/c1-5-4-6(2)8(10)9(12-11)7(5)3/h4,10H,1-3H3 	
 CO24M3C5 	 CC(=O)C(C)C(=O)C 	 InChI=1S/C6H10O2/c1-4(5(2)7)6(3)8/h4H,1-3H3 	
 H3C2C4CO2H 	 OC(=O)CC(O)C(=O)C 	 InChI=1S/C5H8O4/c1-3(6)4(7)2-5(8)9/h4,7H,2H2,1H3,(H,8,9) 	
 CO2C4CHO 	 O=CCCC(=O)C 	 InChI=1S/C5H8O2/c1-5(7)3-2-4-6/h4H,2-3H2,1H3 	
 MIBKBOOH 	 OOC(C(C)C)C(=O)C 	 InChI=1S/C6H12O3/c1-4(2)6(9-8)5(3)7/h4,6,8H,1-3H3 	
 NPETLQO2 	 CCC1=CC(=O)C(C)(O[O])C(ON(=O)=O)C1=O 	 InChI=1S/C9H10NO7/c1-3-5-4-6(11)9(2,17-15)8(7(5)12)16-10(13)14/h4,8H,3H2,1-2H3 	
 HC4CO3 	 CC(=C)C(C(=O)O[O])O 	 InChI=1S/C5H7O4/c1-3(2)4(6)5(7)9-8/h4,6H,1H2,2H3 	
 C6H5OOH 	 OOc1ccccc1 	 InChI=1S/C6H6O2/c7-8-6-4-2-1-3-5-6/h1-5,7H 	
 C3MDIALO 	 O=CC(C)([O])C=O 	 InChI=1S/C4H5O3/c1-4(7,2-5)3-6/h2-3H,1H3 	
 HEPTO2 	 CCCCC(CC)O[O] 	 InChI=1S/C7H15O2/c1-3-5-6-7(4-2)9-8/h7H,3-6H2,1-2H3 	
 PXYMUCNO3 	 O=CC1OC1(C)C(O)C(ON(=O)=O)C(=O)C 	 InChI=1S/C8H11NO7/c1-4(11)6(16-9(13)14)7(12)8(2)5(3-10)15-8/h3,5-7,12H,1-2H3 	
 H13C43CO3 	 OCCC(C)(O)C(=O)O[O] 	 InChI=1S/C5H9O5/c1-5(8,2-3-6)4(7)10-9/h6,8H,2-3H2,1H3 	
 CHOC4PAN 	 O=CCCCCC(=O)OON(=O)=O 	 InChI=1S/C6H9NO6/c8-5-3-1-2-4-6(9)12-13-7(10)11/h5H,1-4H2 	
 C624NO3 	 [O-][N+](=O)OC(CCO)C(=C)C 	 InChI=1S/C6H11NO4/c1-5(2)6(3-4-8)11-7(9)10/h6,8H,1,3-4H2,2H3 	
 CO25C74OOH 	 OOC(CC(=O)C)C(=O)CC 	 InChI=1S/C7H12O4/c1-3-6(9)7(11-10)4-5(2)8/h7,10H,3-4H2,1-2H3 	
 C514O 	 O=CCC([O])CC=O 	 InChI=1S/C5H7O3/c6-3-1-5(8)2-4-7/h3-5H,1-2H2 	
 C1010OOH 	 O=CCCC(=C)C(=O)CC(C)(C)OO 	 InChI=1S/C10H16O4/c1-8(5-4-6-11)9(12)7-10(2,3)14-13/h6,13H,1,4-5,7H2,2-3H3 	
 DIIPRETOH 	 CC(C)OC(C)(C)O 	 InChI=1S/C6H14O2/c1-5(2)8-6(3,4)7/h5,7H,1-4H3 	
 ME2BUOLO 	 CC(O)C(C)(C)[O] 	 InChI=1S/C5H11O2/c1-4(6)5(2,3)7/h4,6H,1-3H3 	
 C4MCODBCO2 	 CC(=O)C=C(C)C(=O)[O] 	 InChI=1S/C6H7O3/c1-4(6(8)9)3-5(2)7/h3H,1-2H3 	
 C4MCODBCO3 	 CC(=CC(=O)C)C(=O)O[O] 	 InChI=1S/C6H7O4/c1-4(3-5(2)7)6(8)10-9/h3H,1-2H3 	
