MCM Name	Smiles String	InChl Identifier	Measurements
 METCATECH 	 CCc1cc(C)cc(O)c1O 	 InChI=1S/C9H12O2/c1-3-7-4-6(2)5-8(10)9(7)11/h4-5,10-11H,3H2,1-2H3 	
 MXYBIPERO2 	 [O]OC1C=CC2(C)OOC1(C)C2O 	 InChI=1S/C8H11O5/c1-7-4-3-5(11-10)8(2,6(7)9)13-12-7/h3-6,9H,1-2H3 	
 M3BU3EPAN 	 [O-][N+](=O)OOC(=O)CC(=C)C 	 InChI=1S/C5H7NO5/c1-4(2)3-5(7)10-11-6(8)9/h1,3H2,2H3 	
 C4M2ALOHO 	 O=CC(O)C(C)([O])C=O 	 InChI=1S/C5H7O4/c1-5(9,3-7)4(8)2-6/h2-4,8H,1H3 	
 CO3C54CO3H 	 CCC(=O)C(C)C(=O)OO 	 InChI=1S/C6H10O4/c1-3-5(7)4(2)6(8)10-9/h4,9H,3H2,1-2H3 	
 NPETOLOOH 	 CCC12OOC(C(=CC2(O)OO)C)C1ON(=O)=O 	 InChI=1S/C9H13NO8/c1-3-8-7(15-10(12)13)6(16-18-8)5(2)4-9(8,11)17-14/h4,6-7,11,14H,3H2,1-2H3 	
 C4OCCOHCO 	 CC([O])C(O)C=O 	 InChI=1S/C4H7O3/c1-3(6)4(7)2-5/h2-4,7H,1H3 	
 H2M2C4CO3 	 [O]OC(=O)CCC(C)(C)O 	 InChI=1S/C6H11O4/c1-6(2,8)4-3-5(7)10-9/h8H,3-4H2,1-2H3 	
 CO13C3CO2H 	 O=CCC(=O)C(=O)O 	 InChI=1S/C4H4O4/c5-2-1-3(6)4(7)8/h2H,1H2,(H,7,8) 	
 ISOPBO 	 CC([O])(CO)C=C 	 InChI=1S/C5H9O2/c1-3-5(2,7)4-6/h3,6H,1,4H2,2H3 	
 EPXMDLCO2H 	 O=CC1(C)OC1C(=O)O 	 InChI=1S/C5H6O4/c1-5(2-6)3(9-5)4(7)8/h2-3H,1H3,(H,7,8) 	
 C126O 	 [O]CCC(=C)C1CC(C)(C)C1CC=O 	 InChI=1S/C12H19O2/c1-9(4-6-13)10-8-12(2,3)11(10)5-7-14/h7,10-11H,1,4-6,8H2,2-3H3 	
 OXY1O 	 Cc1c(C)cccc1[O] 	 InChI=1S/C8H9O/c1-6-4-3-5-8(9)7(6)2/h3-5H,1-2H3 	
 ETBECCHO 	 O=CCOC(C)(C)C 	 InChI=1S/C6H12O2/c1-6(2,3)8-5-4-7/h4H,5H2,1-3H3 	
 PEAOH 	 CCCCCO 	 InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3 	
 NDNPHENO 	 O=N(=O)OC1C2OOC1(C=C(N(=O)=O)C2([O])O)N(=O)=O 	 InChI=1S/C6H4N3O11/c10-6(11)2(7(12)13)1-5(8(14)15)3(18-9(16)17)4(6)19-20-5/h1,3-4,10H 	
 DETLMUOH 	 CCC(=O)C(O)C(C)(O)C1OC1(CC)C=O 	 InChI=1S/C11H18O5/c1-4-7(13)8(14)10(3,15)9-11(5-2,6-12)16-9/h6,8-9,14-15H,4-5H2,1-3H3 	
 EOX2OLBOOH 	 OCCOC(C)OO 	 InChI=1S/C4H10O4/c1-4(8-6)7-3-2-5/h4-6H,2-3H2,1H3 	
 NBUTDAO2 	 [O]OC(C=C)CON(=O)=O 	 InChI=1S/C4H6NO5/c1-2-4(10-8)3-9-5(6)7/h2,4H,1,3H2 	
 NBUTDAOH 	 C=CC(O)CON(=O)=O 	 InChI=1S/C4H7NO4/c1-2-4(6)3-9-5(7)8/h2,4,6H,1,3H2 	
 NPBFUONE 	 CCCC1OC(=O)C(ON(=O)=O)C1=O 	 InChI=1S/C7H9NO6/c1-2-3-4-5(9)6(7(10)13-4)14-8(11)12/h4,6H,2-3H2,1H3 	
 CO3C54CHO 	 CC(C=O)C(=O)CC 	 InChI=1S/C6H10O2/c1-3-6(8)5(2)4-7/h4-5H,3H2,1-2H3 	
 NT123L1O 	 Cc1cc(N(=O)=O)c([O])c(C)c1C 	 InChI=1S/C9H10NO3/c1-5-4-8(10(12)13)9(11)7(3)6(5)2/h4H,1-3H3 	
 ETOLO2 	 [O]OC(C)c1ccccc1C 	 InChI=1S/C9H11O2/c1-7-5-3-4-6-9(7)8(2)11-10/h3-6,8H,1-2H3 	
 C73OOH 	 CC(OO)C(=O)CC(=O)C(=O)C 	 InChI=1S/C7H10O5/c1-4(8)6(9)3-7(10)5(2)12-11/h5,11H,3H2,1-2H3 	
 C5NO3CO4O 	 O=N(=O)OC(C)C(=O)C(C)[O] 	 InChI=1S/C5H8NO5/c1-3(7)5(8)4(2)11-6(9)10/h3-4H,1-2H3 	
 NC101O2 	 [O]OC12CC(=O)C(C)(ON(=O)=O)C(C1)C2(C)C 	 InChI=1S/C10H14NO6/c1-8(2)6-4-10(8,17-15)5-7(12)9(6,3)16-11(13)14/h6H,4-5H2,1-3H3 	
 PEAOOH 	 CCCCCOO 	 InChI=1S/C5H12O2/c1-2-3-4-5-7-6/h6H,2-5H2,1H3 	
 C125OOH 	 CCCCCCC(=O)C(=O)C(OO)C(=O)CC 	 InChI=1S/C12H20O5/c1-3-5-6-7-8-10(14)11(15)12(17-16)9(13)4-2/h12,16H,3-8H2,1-2H3 	
 C712O 	 CC(=O)CC(C)([O])C(C)O 	 InChI=1S/C7H13O3/c1-5(8)4-7(3,10)6(2)9/h6,9H,4H2,1-3H3 	
 H1MC5OOH 	 OCCC(C)C(C)OO 	 InChI=1S/C6H14O3/c1-5(3-4-7)6(2)9-8/h5-8H,3-4H2,1-2H3 	
 ISOPCOOH 	 OOCC(=CCO)C 	 InChI=1S/C5H10O3/c1-5(2-3-6)4-8-7/h2,6-7H,3-4H2,1H3 	
 PRCOFORMO2 	 CC(CC(=O)OC=O)O[O] 	 InChI=1S/C5H7O5/c1-4(10-8)2-5(7)9-3-6/h3-4H,2H2,1H3 	
 TM135OLOOH 	 OOC1(O)C(=CC2(C)OOC1(C)C2O)C 	 InChI=1S/C9H14O6/c1-5-4-7(2)6(10)8(3,15-14-7)9(5,11)13-12/h4,6,10-12H,1-3H3 	
 C6OTKETOH 	 OC(OC(=O)C(=O)C)C(=O)C 	 InChI=1S/C6H8O5/c1-3(7)5(9)11-6(10)4(2)8/h5,9H,1-2H3 	
 H2M4C65NO3 	 O=N(=O)OC(C)C(C)CC(C)O 	 InChI=1S/C7H15NO4/c1-5(4-6(2)9)7(3)12-8(10)11/h5-7,9H,4H2,1-3H3 	
 DMEPHOH 	 CCc1cc(C)cc(C)c1O 	 InChI=1S/C10H14O/c1-4-9-6-7(2)5-8(3)10(9)11/h5-6,11H,4H2,1-3H3 	
 C4MCO2O2 	 [O]OC(C)(C=O)C(=O)C 	 InChI=1S/C5H7O4/c1-4(7)5(2,3-6)9-8/h3H,1-2H3 	
 MXYL1O 	 Cc1cccc([O])c1 	 InChI=1S/C7H7O/c1-6-3-2-4-7(8)5-6/h2-5H,1H3 	
 H2M3C4CO2H 	 OC(=O)CC(C)C(C)O 	 InChI=1S/C6H12O3/c1-4(5(2)7)3-6(8)9/h4-5,7H,3H2,1-2H3,(H,8,9) 	
 M3PEBNO3 	 CCC(C)C(C)ON(=O)=O 	 InChI=1S/C6H13NO3/c1-4-5(2)6(3)10-7(8)9/h5-6H,4H2,1-3H3 	
 HO2C4OOH 	 OOCCC(C)O 	 InChI=1S/C4H10O3/c1-4(5)2-3-7-6/h4-6H,2-3H2,1H3 	
 C4MCO2OH 	 O=CC(C)(O)C(=O)C 	 InChI=1S/C5H8O3/c1-4(7)5(2,8)3-6/h3,8H,1-2H3 	
 C727CO3H 	 OOC(=O)C(CCC(=O)C)C(=O)C 	 InChI=1S/C8H12O5/c1-5(9)3-4-7(6(2)10)8(11)13-12/h7,12H,3-4H2,1-2H3 	
 EBZMUCO 	 CCC(=O)C([O])C(O)C1OC1C=O 	 InChI=1S/C8H11O5/c1-2-4(10)6(11)7(12)8-5(3-9)13-8/h3,5-8,12H,2H2,1H3 	
 T123NNCTO2 	 [O]OC1(O)C(=C(N(=O)=O)C2(C)OOC1(C)C2(C)ON(=O)=O)O 	 InChI=1S/C9H11N2O11/c1-6-4(10(14)15)5(12)9(13,20-18)8(3,22-21-6)7(6,2)19-11(16)17/h12-13H,1-3H3 	
 PRONO3BO 	 CC([O])CON(=O)=O 	 InChI=1S/C3H6NO4/c1-3(5)2-8-4(6)7/h3H,2H2,1H3 	
 OTNCATCOOH 	 CCC1=C(O)C(O)(OO)C2(OOC1(C)C2O)N(=O)=O 	 InChI=1S/C9H13NO9/c1-3-4-5(11)9(13,17-16)8(10(14)15)6(12)7(4,2)18-19-8/h6,11-13,16H,3H2,1-2H3 	
 C6OTKETO2 	 [O]OC(OC(=O)C(=O)C)C(=O)C 	 InChI=1S/C6H7O6/c1-3(7)5(9)11-6(12-10)4(2)8/h6H,1-2H3 	
 C925O 	 OCC(CC(=O)C(=O)C)C(C)([O])CO 	 InChI=1S/C9H15O5/c1-6(12)8(13)3-7(4-10)9(2,14)5-11/h7,10-11H,3-5H2,1-2H3 	
 INCOOH 	 OCC(OO)C(C)(O)CON(=O)=O 	 InChI=1S/C5H11NO7/c1-5(8,3-12-6(9)10)4(2-7)13-11/h4,7-8,11H,2-3H2,1H3 	
 ISOPBOOH 	 OCC(C)(OO)C=C 	 InChI=1S/C5H10O3/c1-3-5(2,4-6)8-7/h3,6-7H,1,4H2,2H3 	
 NDNCRESO 	 O=N(=O)OC1C2(OOC1(C)C([O])(O)C(=C2)N(=O)=O)N(=O)=O 	 InChI=1S/C7H6N3O11/c1-5-4(19-10(17)18)6(9(15)16,21-20-5)2-3(8(13)14)7(5,11)12/h2,4,11H,1H3 	
 NC730OH 	 [O-][N+](=O)OCC(C)(O)C(CCO)C=O 	 InChI=1S/C7H13NO6/c1-7(11,5-14-8(12)13)6(4-10)2-3-9/h4,6,9,11H,2-3,5H2,1H3 	
 NOAOO 	 [O-][O+]=C(C)CON(=O)=O 	 InChI=1S/C3H5NO5/c1-3(9-7)2-8-4(5)6/h2H2,1H3 	
 C6DICAROOH 	 OOC(C(O)C=O)C(=O)CC 	 InChI=1S/C6H10O5/c1-2-4(8)6(11-10)5(9)3-7/h3,5-6,9-10H,2H2,1H3 	
 IPMALANHY 	 O=C1OC(=O)C(=C1)C(C)C 	 InChI=1S/C7H8O3/c1-4(2)5-3-6(8)10-7(5)9/h3-4H,1-2H3 	
 DNMETOLO2 	 CCC1=C(N(=O)=O)C2(OOC(C)(C2O)C1(O)O[O])N(=O)=O 	 InChI=1S/C9H11N2O10/c1-3-4-5(10(14)15)8(11(16)17)6(12)7(2,20-21-8)9(4,13)19-18/h6,12-13H,3H2,1-2H3 	
 C516O2 	 OCC(O[O])CC(=O)C(=O)O 	 InChI=1S/C5H7O6/c6-2-3(11-10)1-4(7)5(8)9/h3,6H,1-2H2,(H,8,9) 	
 IC7DCCO3H 	 OOC(=O)C=CC(=O)C(C)C 	 InChI=1S/C7H10O4/c1-5(2)6(8)3-4-7(9)11-10/h3-5,10H,1-2H3 	
 IPRACBO 	 CC(C[O])OC(=O)C 	 InChI=1S/C5H9O3/c1-4(3-6)8-5(2)7/h4H,3H2,1-2H3 	
 IPBFUCO 	 O=C1C(=O)OC(C(C)C)C1O 	 InChI=1S/C7H10O4/c1-3(2)6-4(8)5(9)7(10)11-6/h3-4,6,8H,1-2H3 	
 CO2HOC61O 	 CCC(O)CC(=O)C[O] 	 InChI=1S/C6H11O3/c1-2-5(8)3-6(9)4-7/h5,8H,2-4H2,1H3 	
 MEMOXYCO3H 	 COCC(=O)OO 	 InChI=1S/C3H6O4/c1-6-2-3(4)7-5/h5H,2H2,1H3 	
 METOLO2 	 CCC12C=CC(O)(O[O])C(C)(OO1)C2O 	 InChI=1S/C9H13O6/c1-3-8-4-5-9(11,13-12)7(2,6(8)10)14-15-8/h4-6,10-11H,3H2,1-2H3 	
 METOLOH 	 CCC12C=CC(O)(O)C(C)(OO1)C2O 	 InChI=1S/C9H14O5/c1-3-8-4-5-9(11,12)7(2,6(8)10)13-14-8/h4-6,10-12H,3H2,1-2H3 	
 HO2C5OOH 	 OOCCCC(C)O 	 InChI=1S/C5H12O3/c1-5(6)3-2-4-8-7/h5-7H,2-4H2,1H3 	
 C33CO 	 O=CC(=O)C=O 	 InChI=1S/C3H2O3/c4-1-3(6)2-5/h1-2H 	
 PRCOOMCO3H 	 CCCC(=O)OCC(=O)OO 	 InChI=1S/C6H10O5/c1-2-3-5(7)10-4-6(8)11-9/h9H,2-4H2,1H3 	
 BCAL 	 O=CCCC(=C)C1CC(C)(C)C1CCC(=O)C 	 InChI=1S/C15H24O2/c1-11(6-5-9-16)13-10-15(3,4)14(13)8-7-12(2)17/h9,13-14H,1,5-8,10H2,2-4H3 	
 C1213NO3 	 OCCC(=O)C(=O)CC(C)(C)C(CCC(=O)O)O[N+](=O)[O-] 	 InChI=1S/C12H19NO8/c1-12(2,7-9(16)8(15)5-6-14)10(21-13(19)20)3-4-11(17)18/h10,14H,3-7H2,1-2H3,(H,17,18) 	
 M2C43CHO 	 O=CC(C)C(C)C 	 InChI=1S/C6H12O/c1-5(2)6(3)4-7/h4-6H,1-3H3 	
 M3C4CO3 	 CC(CC(=O)O[O])CC 	 InChI=1S/C6H11O3/c1-3-5(2)4-6(7)9-8/h5H,3-4H2,1-2H3 	
 BRETO3 	 [O]OC(=O)CBr 	 InChI=1S/C2H2BrO3/c3-1-2(4)6-5/h1H2 	
 C61OOH 	 OOC(CC(=O)C)C(C)O 	 InChI=1S/C6H12O4/c1-4(7)3-6(10-9)5(2)8/h5-6,8-9H,3H2,1-2H3 	
 C64NO3 	 OCC(C)(CC(=O)C)ON(=O)=O 	 InChI=1S/C6H11NO5/c1-5(9)3-6(2,4-8)12-7(10)11/h8H,3-4H2,1-2H3 	
 C4NO3CO2H 	 CCCC(ON(=O)=O)C(=O)O 	 InChI=1S/C5H9NO5/c1-2-3-4(5(7)8)11-6(9)10/h4H,2-3H2,1H3,(H,7,8) 	
 C5CO2DBPAN 	 O=CC(=O)C=C(C)C(=O)OON(=O)=O 	 InChI=1S/C6H5NO7/c1-4(2-5(9)3-8)6(10)13-14-7(11)12/h2-3H,1H3 	
 ETHFORM 	 CCOC=O 	 InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3 	
 C131PAN 	 CC(=O)CCC1C(CC1(C)C)C(=O)CCC(=O)OO[N+](=O)[O-] 	 InChI=1S/C14H21NO7/c1-9(16)4-5-11-10(8-14(11,2)3)12(17)6-7-13(18)21-22-15(19)20/h10-11H,4-8H2,1-3H3 	
 DECO 	 CCCCCCCC([O])CC 	 InChI=1S/C10H21O/c1-3-5-6-7-8-9-10(11)4-2/h10H,3-9H2,1-2H3 	
 M2BKBOH 	 CCC(C)(O)C(=O)C 	 InChI=1S/C6H12O2/c1-4-6(3,8)5(2)7/h8H,4H2,1-3H3 	
 NNCATECO2 	 [O]OC1(O)C(=CC2(OOC1C2ON(=O)=O)N(=O)=O)O 	 InChI=1S/C6H5N2O11/c9-2-1-5(7(11)12)3(16-8(13)14)4(17-19-5)6(2,10)18-15/h1,3-4,9-10H 	
 MBOBOOH 	 OOCC(O)C(C)(C)O 	 InChI=1S/C5H12O4/c1-5(2,7)4(6)3-9-8/h4,6-8H,3H2,1-2H3 	
 C827CHO 	 O=CC(C)(C)C(=O)CCC(=O)C 	 InChI=1S/C9H14O3/c1-7(11)4-5-8(12)9(2,3)6-10/h6H,4-5H2,1-3H3 	
 HOCOC4DIAL 	 O=CC(=O)C(O)C=O 	 InChI=1S/C4H4O4/c5-1-3(7)4(8)2-6/h1-3,7H 	
 C1212O 	 OCCC(=O)C1([O])CC(C)(C)C1CCC(=O)O 	 InChI=1S/C12H19O5/c1-11(2)7-12(17,9(14)5-6-13)8(11)3-4-10(15)16/h8,13H,3-7H2,1-2H3,(H,15,16) 	
 C123OH 	 CCCCCCC(O)C(O)CC(=O)CC 	 InChI=1S/C12H24O3/c1-3-5-6-7-8-11(14)12(15)9-10(13)4-2/h11-12,14-15H,3-9H2,1-2H3 	
 C515CO3 	 [O]OC(=O)CC(=O)C(=O)CC=O 	 InChI=1S/C6H5O6/c7-2-1-4(8)5(9)3-6(10)12-11/h2H,1,3H2 	
 C1313OH 	 O=CCCC(O)(CO)C1CC(C)(C)C1CC=O 	 InChI=1S/C13H22O4/c1-12(2)8-11(10(12)4-7-15)13(17,9-16)5-3-6-14/h6-7,10-11,16-17H,3-5,8-9H2,1-2H3 	
 BOXPRONBO2 	 CCCCOC(O[O])C(=O)C 	 InChI=1S/C7H13O4/c1-3-4-5-10-7(11-9)6(2)8/h7H,3-5H2,1-2H3 	
 ETBE 	 CCOC(C)(C)C 	 InChI=1S/C6H14O/c1-5-7-6(2,3)4/h5H2,1-4H3 	
 OXYLCO2H 	 OC(=O)c1ccccc1C 	 InChI=1S/C8H8O2/c1-6-4-2-3-5-7(6)8(9)10/h2-5H,1H3,(H,9,10) 	
 C67CO3 	 [O]OC(=O)CC(=O)C(C)(C)O 	 InChI=1S/C6H9O5/c1-6(2,9)4(7)3-5(8)11-10/h9H,3H2,1-2H3 	
 EPXALMKT 	 O=CC1OC1(C)C(=O)C 	 InChI=1S/C6H8O3/c1-4(8)6(2)5(3-7)9-6/h3,5H,1-2H3 	
 TMBCHO 	 O=Cc1cc(C)cc(C)c1 	 InChI=1S/C9H10O/c1-7-3-8(2)5-9(4-7)6-10/h3-6H,1-2H3 	
 BOXPRONBOH 	 CCCCOC(O)C(=O)C 	 InChI=1S/C7H14O3/c1-3-4-5-10-7(9)6(2)8/h7,9H,3-5H2,1-2H3 	
 HO13C4OOH 	 OCCC(O)COO 	 InChI=1S/C4H10O4/c5-2-1-4(6)3-8-7/h4-7H,1-3H2 	
 C1313O2 	 O=CCCC(CO)(O[O])C1CC(C)(C)C1CC=O 	 InChI=1S/C13H21O5/c1-12(2)8-11(10(12)4-7-15)13(9-16,18-17)5-3-6-14/h6-7,10-11,16H,3-5,8-9H2,1-2H3 	
 C123O2 	 CCCCCCC(O)C(O[O])CC(=O)CC 	 InChI=1S/C12H23O4/c1-3-5-6-7-8-11(14)12(16-15)9-10(13)4-2/h11-12,14H,3-9H2,1-2H3 	
 EBZMUCCO3 	 CCC(=O)C=CC1OC1C(=O)O[O] 	 InChI=1S/C8H9O5/c1-2-5(9)3-4-6-7(12-6)8(10)13-11/h3-4,6-7H,2H2,1H3 	
 C519CO3 	 OCCC(C(=O)C)C(=O)O[O] 	 InChI=1S/C6H9O5/c1-4(8)5(2-3-7)6(9)11-10/h5,7H,2-3H2,1H3 	
 M2BKBO2 	 CCC(C)(O[O])C(=O)C 	 InChI=1S/C6H11O3/c1-4-6(3,9-8)5(2)7/h4H2,1-3H3 	
 PXYL1O 	 Cc1ccc([O])cc1 	 InChI=1S/C7H7O/c1-6-2-4-7(8)5-3-6/h2-5H,1H3 	
 C7MCO2DBAL 	 O=CC(=O)C=CC(=O)C(C)C 	 InChI=1S/C8H10O3/c1-6(2)8(11)4-3-7(10)5-9/h3-6H,1-2H3 	
 CH3CCL2OOH 	 OOC(C)(Cl)Cl 	 InChI=1S/C2H4Cl2O2/c1-2(3,4)6-5/h5H,1H3 	
 PHC3OH 	 CCC(O)c1ccccc1 	 InChI=1S/C9H12O/c1-2-9(10)8-6-4-3-5-7-8/h3-7,9-10H,2H2,1H3 	
 NC4H9O 	 CCCC[O] 	 InChI=1S/C4H9O/c1-2-3-4-5/h2-4H2,1H3 	
 NBCO2 	 [O]OC1(C)CCC2C(CC2(C)C)C(=C)CCC1O[N+](=O)[O-] 	 InChI=1S/C15H24NO5/c1-10-5-6-13(20-16(17)18)15(4,21-19)8-7-12-11(10)9-14(12,2)3/h11-13H,1,5-9H2,2-4H3 	
 OTNNCATOOH 	 CCC1=C(O)C(O)(OO)C2(OOC1(C)C2ON(=O)=O)N(=O)=O 	 InChI=1S/C9H12N2O11/c1-3-4-5(12)9(13,20-18)8(10(14)15)6(19-11(16)17)7(4,2)21-22-8/h6,12-13,18H,3H2,1-2H3 	
 CO2C3CO3 	 CC(=O)CC(=O)O[O] 	 InChI=1S/C4H5O4/c1-3(5)2-4(6)8-7/h2H2,1H3 	
 TM124MUNO3 	 O=CC1(C)OC1(C)C(ON(=O)=O)C(O)C(=O)C 	 InChI=1S/C9H13NO7/c1-5(12)6(13)7(16-10(14)15)9(3)8(2,4-11)17-9/h4,6-7,13H,1-3H3 	
 MIBKHO4CHO 	 O=CC(=O)CC(C)(C)O 	 InChI=1S/C6H10O3/c1-6(2,9)3-5(8)4-7/h4,9H,3H2,1-2H3 	
 MXOHNO2OOH 	 OOC1(O)C(=CC2(C)OOC1(N(=O)=O)C2O)C 	 InChI=1S/C8H11NO8/c1-4-3-6(2)5(10)7(9(12)13,17-16-6)8(4,11)15-14/h3,5,10-11,14H,1-2H3 	
 PXYMUCCO3 	 CC1(OC1C(=O)O[O])C=CC(=O)C 	 InChI=1S/C8H9O5/c1-5(9)3-4-8(2)6(12-8)7(10)13-11/h3-4,6H,1-2H3 	
 HM22CHO 	 OCC(C)(C)C=O 	 InChI=1S/C5H10O2/c1-5(2,3-6)4-7/h3,7H,4H2,1-2H3 	
 BOXPRONE 	 CCCCOCC(=O)C 	 InChI=1S/C7H14O2/c1-3-4-5-9-6-7(2)8/h3-6H2,1-2H3 	
 HEX2ONCO 	 CCCC([O])C(=O)C 	 InChI=1S/C6H11O2/c1-3-4-6(8)5(2)7/h6H,3-4H2,1-2H3 	
 UDECOH 	 CCCCCCCCC(O)CC 	 InChI=1S/C11H24O/c1-3-5-6-7-8-9-10-11(12)4-2/h11-12H,3-10H2,1-2H3 	
 DETLPOXMUC 	 CCC(=O)C=C(C)C1OC1(CC)C=O 	 InChI=1S/C11H16O3/c1-4-9(13)6-8(3)10-11(5-2,7-12)14-10/h6-7,10H,4-5H2,1-3H3 	
 MTNNCATOOH 	 CCC12OOC(C)(C(=C(O)C2(O)OO)N(=O)=O)C1ON(=O)=O 	 InChI=1S/C9H12N2O11/c1-3-8-6(19-11(16)17)7(2,21-22-8)4(10(14)15)5(12)9(8,13)20-18/h6,12-13,18H,3H2,1-2H3 	
 CYHXOLANO3 	 O=N(=O)OC1CCCCC1O 	 InChI=1S/C6H11NO4/c8-5-3-1-2-4-6(5)11-7(9)10/h5-6,8H,1-4H2 	
 C5DIALOOH 	 O=CC=CC(OO)C=O 	 InChI=1S/C5H6O4/c6-3-1-2-5(4-7)9-8/h1-5,8H 	
 HO3C96OOH 	 CCCC(OO)CCC(O)CC 	 InChI=1S/C9H20O3/c1-3-5-9(12-11)7-6-8(10)4-2/h8-11H,3-7H2,1-2H3 	
 OETLMUCO 	 O=CC([O])C(O)C1(C)OC1(CC)C=O 	 InChI=1S/C9H13O5/c1-3-9(5-11)8(2,14-9)7(13)6(12)4-10/h4-7,13H,3H2,1-2H3 	
 NOETLQO2 	 CCC1=C(C)C(=O)C(O[O])C(ON(=O)=O)C1=O 	 InChI=1S/C9H10NO7/c1-3-5-4(2)6(11)9(17-15)8(7(5)12)16-10(13)14/h8-9H,3H2,1-2H3 	
 EPXKTMCO3H 	 CC1(OC1C(=O)OO)C(=O)C 	 InChI=1S/C6H8O5/c1-3(7)6(2)4(10-6)5(8)11-9/h4,9H,1-2H3 	
 PHC3O2 	 CCC(O[O])c1ccccc1 	 InChI=1S/C9H11O2/c1-2-9(11-10)8-6-4-3-5-7-8/h3-7,9H,2H2,1H3 	
 HCHO 	 C=O 	 InChI=1S/CH2O/c1-2/h1H2 	
 HO36C9 	 CCCC(O)CCC(O)CC 	 InChI=1S/C9H20O2/c1-3-5-9(11)7-6-8(10)4-2/h8-11H,3-7H2,1-2H3 	
 HO36C8 	 CCC(O)CCC(O)CC 	 InChI=1S/C8H18O2/c1-3-7(9)5-6-8(10)4-2/h7-10H,3-6H2,1-2H3 	
 C102OOH 	 CCCCCC(O)CC(=O)C(C)OO 	 InChI=1S/C10H20O4/c1-3-4-5-6-9(11)7-10(12)8(2)14-13/h8-9,11,13H,3-7H2,1-2H3 	
 C718OH 	 OCCC(=O)C(C)(C)C=O 	 InChI=1S/C7H12O3/c1-7(2,5-9)6(10)3-4-8/h5,8H,3-4H2,1-2H3 	
 PHCOMEO 	 [O]CC(=O)c1ccccc1 	 InChI=1S/C8H7O2/c9-6-8(10)7-4-2-1-3-5-7/h1-5H,6H2 	
 C6H5C2NO3 	 O=N(=O)OCCc1ccccc1 	 InChI=1S/C8H9NO3/c10-9(11)12-7-6-8-4-2-1-3-5-8/h1-5H,6-7H2 	
 NPHENOH 	 O=N(=O)OC1C2OOC1C(O)(O)C=C2 	 InChI=1S/C6H7NO7/c8-6(9)2-1-3-4(12-7(10)11)5(6)14-13-3/h1-5,8-9H 	
 T124NCATO2 	 [O]OC1(O)C(=C(C)C2(OOC1(C)C2(C)O)N(=O)=O)O 	 InChI=1S/C9H12NO9/c1-4-5(11)9(13,17-16)7(3)6(2,12)8(4,10(14)15)19-18-7/h11-13H,1-3H3 	
 C613O2 	 OCC(O[O])C(C)(O)C(=O)C 	 InChI=1S/C6H11O5/c1-4(8)6(2,9)5(3-7)11-10/h5,7,9H,3H2,1-2H3 	
 PRONOCOMO 	 CC(=O)COC(=O)C[O] 	 InChI=1S/C5H7O4/c1-4(7)3-9-5(8)2-6/h2-3H2,1H3 	
 C831O 	 O=CCC([O])C(C)(C)CC=O 	 InChI=1S/C8H13O3/c1-8(2,4-6-10)7(11)3-5-9/h5-7H,3-4H2,1-2H3 	
 CH2CLOH 	 OCCl 	 InChI=1S/CH3ClO/c2-1-3/h3H,1H2 	
 NLMKAO 	 [O-][N+](=O)OC1CC(CCC1(C)[O])C(=O)C 	 InChI=1S/C9H14NO5/c1-6(11)7-3-4-9(2,12)8(5-7)15-10(13)14/h7-8H,3-5H2,1-2H3 	
 CLOHPAN 	 O=N(=O)OOC(=O)C(O)Cl 	 InChI=1S/C2H2ClNO6/c3-1(5)2(6)9-10-4(7)8/h1,5H 	
 C6H13CO2H 	 CCCCCCC(=O)O 	 InChI=1S/C7H14O2/c1-2-3-4-5-6-7(8)9/h2-6H2,1H3,(H,8,9) 	
 CHOC3COCO3 	 [O]OC(=O)CC(=O)CC=O 	 InChI=1S/C5H5O5/c6-2-1-4(7)3-5(8)10-9/h2H,1,3H2 	
 CO234C65O 	 CC([O])C(=O)C(=O)C(=O)C 	 InChI=1S/C6H7O4/c1-3(7)5(9)6(10)4(2)8/h3H,1-2H3 	
 C1312NO3 	 O=CCCC(=C)C(=O)CC(C)(C)C(CCO)O[N+](=O)[O-] 	 InChI=1S/C13H21NO6/c1-10(5-4-7-15)11(17)9-13(2,3)12(6-8-16)20-14(18)19/h7,12,16H,1,4-6,8-9H2,2-3H3 	
 OXYMUCCO3 	 CC1(OC1(C)C(=O)O[O])C=CC=O 	 InChI=1S/C8H9O5/c1-7(4-3-5-9)8(2,13-7)6(10)12-11/h3-5H,1-2H3 	
 C8CO4DB 	 O=CC(=O)C=C(C)C(=O)C(=O)C 	 InChI=1S/C8H8O4/c1-5(3-7(11)4-9)8(12)6(2)10/h3-4H,1-2H3 	
 C102O 	 CCCCCC(O)CC(=O)C(C)[O] 	 InChI=1S/C10H19O3/c1-3-4-5-6-9(12)7-10(13)8(2)11/h8-9,12H,3-7H2,1-2H3 	
 NPHENO2 	 [O]OC1(O)C=CC2OOC1C2ON(=O)=O 	 InChI=1S/C6H6NO8/c8-6(15-11)2-1-3-4(12-7(9)10)5(6)14-13-3/h1-5,8H 	
 C6CONO34O 	 CCC([O])C(ON(=O)=O)C(=O)C 	 InChI=1S/C6H10NO5/c1-3-5(9)6(4(2)8)12-7(10)11/h5-6H,3H2,1-2H3 	
